;;;;ORDEN DE TRABAJO                                                                                                                                                     DE LABORATORIO;;;;CÓDIGO:;F-LEM-P-02.01;
;;;;;;;;VERSIÓN:;03;
;;;;;;;;FECHA:;1/08/2022;
;;;;;;;;PÁGINA:;1 de 1;
;;;;;;;;;;
N° OT:;1422-25-LEM;;;;Nº RECEPCIÓN:;1384-25;;REFERENCIA:; - ;
;;;;;;;;(Completar solo si el requerimiento proviene del área de Ingeniería);;
;;;;;;;;;;
ÍTEM;CÓDIGO DE MUESTRA;;;DESCRIPCIÓN;;;;;CANTIDAD;
1;4259-CO-25;;;COMPRESION DE PROBETAS;;;;;5;C-6 M-1
;AL;;;;;;;;;
;4263-CO-25;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
FECHA DE RECEPCIÓN;;7/10/2025;;INICIO PROGRAMADO;7/10/2025;INICIO REAL;;VARIACION DE INICIO;;
PLAZO DE ENTREGA (DIAS);;3;;FIN PROGRAMADO;9/10/2025;FIN REAL;;VARIACION DE FIN;;
DURACION REAL DE EJECUCION (DIAS):;;;;;;;;;;
OBSERVACIONES:;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
O/T APERTURADA POR:;;ANGELA PAREDES;;;;OT DESIGADA A:             (Colocar el nombre de los técnicos);DAVID MEJORADA;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
