;;;RECEPCION DE MUESTRA CILINDRICAS DE                                                                                                                                 CONCRETO;;;;;;CàDIGO:;F-LEM-P-01.02;;;;;;;;
;;;;;;;;;VERSIàN:;07;;;;;;;;
;;;;;;;;;FECHA:;24/09/2024;;;;;;;;
;;;;;;;;;PµGINA:;1 de 1;;;;;;;;
;;;;;;;;;;;;;;;;;;
RECEPCIàN Nø: ;;;1384-25;;;;;FECHA DE RECEPCIàN:;7/10/2025;;;;;;;;;
COTIZACIàN Nø:;;;-;;;;;OT Nø:;1422-25;;;;;;;;;
;;;;;(C¢digo de trazabilidad con el informe de ensayo);;;;;;;;;;;;;
ASUNTO: SOLICITO EJECUCIàN DE ENSAYOS;;;;;;;;;;;;;;;;;;
Cliente;;:;SGCMM GROUP S.A.C.;;;;;;;;;DATOS PARA FACTURACION Y PERSONA DE CONTACTO PARA EL ENVIO DEL INFORME DE LABORATORIO;;;;;;
Domicilo legal;;:;Mza. N Lote. 7 A.H. Luis F. De Las Casas, Prov. Const. Del Callao - Prov. Const. Del Callao - Ventanilla;;;;;;;;;;;;;;;
RUC;;:;20602960995;;;;;;;;;;;;;;;
Persona contacto;;:;ROBERTH POTOCINO YARANGA;;;;;;;;;;;;;;;
E-MAIL;;:;ANDREPOTOCINO@GMAIL.COM / Rpotocino@megamontaje.com;;;Tel‚fono:;917 270 635;;;;;;;;;;;
DATOS A CONSIGNAR EN EL INFORME DE ENSAYO;;;;;;;;;;;;;;;;;;
Solicitante;;:;MEGA ESTRUCTURAS;;;;;;;;;DATOS QUE IRA EN EL INFORME DE LABORATORIO;;;;;;
Domicilo legal;;:;CAL. OMICRON 105 Z.I. PARQUE INTERNACIONAL ALT. CUADRA 52 DE AV. COLONIAL PROV. CONST. DEL CALLAO PROV. CONST. DEL CALLAO CALLAO;;;;;;;;;;;;;;;
Proyecto;;:;SUMINISTRO, TRANSPORTE Y MONTAJE DE ESTRUCTURAS METALICAS PARA NAVE INDUSTRIAL Y EDIFICIO ET01 / ALS HUB;;;;;;;;;;;;;;;
